id,authorshortstring,year,journal,volume,issue,pages,doi,dataEntryComplete
1,"Shipman & Harris",1988,"",,,"","",1
2,"Greenacre & Vrba",1984,Ecology,65,3,987-997,http://links.jstor.org/sici?sici=0012-9658%28198406%2965%3A3%3C984%3AGDAIOA%3E2.0.CO%3B2-Y,0
3,Alemseged,2003,"Journal of Human Evolution",,,"","",0
4,Unknown,1111,"",,,"","",0
5,"Wilson & Reeder",2005,"",,,"","",0
6,"Johanson et al",1978,"",,,"","",0
7,Geraads,0,"",,,"","",0
8,"Campisano & Feibel",2008,"GSA Special Paper",446,,"","",0
9,"Campisano Dissertation",2007,"",,,"","",0
10,Reed,2008,"Journal of Human Evolution",54,,743-768,"",1
11,"Geraads et al",2012,"Journal of Vertebrate Paleontology",32,1,180-197,"",0
12,Gentry,2010,"Cenozoic Mammals of Africa",,,741-796,"",0
13,"Lintulaakso and Kovarovic",2016,"Palaeogeography, Palaeoclimatology, Palaeoecology",454,,20-29,10.1016/j.palaeo.2016.04.012,0
14,"Turkana Public",2000,"",,,"","",0
15,"Patterson et al.",2014,"Quaternary Science Reviews",,,9-22,http://dx.doi.org/10.1016/j.quascirev.2013.11.011,0
16,"Brown, Mcdougall",2011,"Evolutionary Anthropology",,,217-227,10.1002/evan.20318,0
17,"Rowan et al.",2016,"Proc. R. Soc. B",283,1840,"",10.1098/rspb.2016.1207,0
18,"Haile-Selassie, Yohannes and WoldeGabriel Giday",2009,"Late Miocene Evidence from the Middle Awash, Ethiopia",,,23-24,"ISBN 978-0-520-25440-4",0
19,Goodall,1962,"Annals of the New York Academy of Sciences",102,2,455-467,10.1111/j.1749-6632.1962.tb13652.x,1
20,"General Knowledge",1900,"",,,"","",0
21,"Haile-Selassie, Yohannes",2001,Nature,412,6843,178-181,10.1038/35084063,0
22,"WoldeGabriel, G; Haile-Selassie, Y.",2001,Nature,412,6843,175-178,10.1038/35084058,0
23,"Geraads, Denis; Alemseged, Zeresenay; Bellon, Hervé",2002,"Tertiary Research",,,113-122,"",0
24,"Suwa, Gen; Beyenne, Yonas; Nakaya, Hideo; Bernor, Raymond L.; Boisserie, Jean-Renaud; Bibi, Faysal;",2015,"Anthropological Science",123,1,19-39,10.1537/ase.150206,0
25,"Nakaya, Hideo",1994,"African Study Monographs",,20,1-112,"",0
