id,kingdom,phylum,tclass,order,family,subfamily,genus,species,infraspecificEpithet,identificationQualifier,extant,commonName,synonyms,taxonRank,Fernandez_Vrba_2005_Name,BinindaEmonds_2008_Name,ref_id,tribe
1,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,Bovinae,"","","","",1,"","",tribe,"","",4,Tragelaphini
2,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Cephalophini
3,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,Bovinae,"","","","",1,"","",tribe,"","",4,Bovini
4,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Hippotragini
5,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Reduncini
6,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Alcelaphini
7,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Antilopini
8,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Aepycerotini
9,Animalia,Chordata,Mammalia,ARTIODACTYLA,Bovidae,"","","","","",1,"","",tribe,"","",4,Neotragini
12100001,Animalia,Chordata,Mammalia,PRIMATES,"","","","","","",1,"","",order,,,5,""
12100005,Animalia,Chordata,Mammalia,PRIMATES,Cheirogaleidae,"","","","","",1,"","",family,,,5,""
12100006,Animalia,Chordata,Mammalia,PRIMATES,Cheirogaleidae,"",Allocebus,"","","",1,"","",genus,,,5,""
12100007,Animalia,Chordata,Mammalia,PRIMATES,Cheirogaleidae,"",Allocebus,trichotis,"","",1,"Hairy-eared Dwarf Lemur","",species,,,5,""
